2017,Aborto con consentimiento seguido de muerte, Buenos Aires ,0;
2017,Aborto preterintencional, Buenos Aires ,0;
2017,Aborto sin consentimiento, Buenos Aires ,1;
2017,Abuso de armas, Buenos Aires ,246;
2017,Agresion con toda arma, Buenos Aires ,19;
2017,Disparo de arma de fuego con herida, Buenos Aires ,5;
2017,Disparo de arma de fuego sin herir, Buenos Aires ,26;
2017,Disparo de arma de fuego y agresion agravada, Buenos Aires ,35;
2017,Femicidio, Buenos Aires ,8;
"2017,""Homicidio """"criminis causa"""""", Buenos Aires ,62";
2017,Homicidio calificado, Buenos Aires ,173;
"2017,""Homicidio calificado a miembros de seguridad, policial o penitenciaria"", Buenos Aires ,6";
2017,Homicidio calificado por el vinculo, Buenos Aires ,32;
"2017,""Homicidio con ensa–amiento, alevosia, insidia"", Buenos Aires ,15";
2017,Homicidio en estado de emocion violenta, Buenos Aires ,3;
2017,Homicidio en estado de emocion violenta calificado, Buenos Aires ,0;
2017,Homicidio en exceso de la legitima defensa, Buenos Aires ,15;
2017,Homicidio en ri–a, Buenos Aires ,11;
2017,Homicidio en ri–a calificado, Buenos Aires ,0;
"2017,""Homicidio por placer, codicia, odio racial o religioso"", Buenos Aires ,1";
2017,Homicidio por precio o promesa remuneratoria, Buenos Aires ,0;
2017,Homicidio premeditado; pluralidad de agentes, Buenos Aires ,7
2017,Homicidio preterintencional, Buenos Aires ,11;
2017,Homicidio preterintencional calificado, Buenos Aires ,2;
2017,Homicidio simple, Buenos Aires ,414;
2017,Homicidio utilizando medio catastrofico, Buenos Aires ,1;
2017,Lesiones en estado de emocion violenta calificadas, Buenos Aires ,0;
2017,Lesiones en ri–a calificadas, Buenos Aires ,6;
2017,Lesiones graves, Buenos Aires ,308;
2017,Lesiones graves calificadas, Buenos Aires ,86;
2017,Lesiones graves o gravisimas en ri–a, Buenos Aires ,10;
2017,Lesiones gravisimas, Buenos Aires ,7;
2017,Lesiones gravisimas calificadas, Buenos Aires ,3;
2017,Lesiones leves, Buenos Aires ,709;
2017,Lesiones leves calificadas, Buenos Aires ,813;
2017,Lesiones leves en ri–a, Buenos Aires ,7;
2017,Abuso sexual, Buenos Aires ,377;
2017,Abuso sexual agravado, Buenos Aires ,690;
2017,Abuso sexual seguido de muerte, Buenos Aires ,1;
2017,Corrupcion o prostitucion de mayores, Buenos Aires ,0;
2017,Estupro, Buenos Aires ,22;
2017,Estupro agravado, Buenos Aires ,3;
2017,Exhibiciones obscenas, Buenos Aires ,28;
2017,Ley 26.904 (Grooming), Buenos Aires ,7;
2017,Promocion o facilitacion de la corrupcion de menores, Buenos Aires ,46;
2017,Promocion o facilitacion de la corrupcion de menores calificada, Buenos Aires ,28;
2017,Promocion o facilitacion de la prostitucion, Buenos Aires ,26;
2017,Promocion o facilitacion de la prostitucion calificada, Buenos Aires ,4;
2017,Promocion y facilitacion de la prostitucion o corrupcion de mayores, Buenos Aires ,5;
2017,Proxenetismo, Buenos Aires ,15;
2017,Proxenetismo agravado, Buenos Aires ,5;
2017,Publicaciones y reproducciones obscenas, Buenos Aires ,18;
2017,Rapto, Buenos Aires ,10;
2017,Rapto calificado, Buenos Aires ,2;
2017,Rapto de menor impuber, Buenos Aires ,0;
2017,Trata de mujeres, Buenos Aires ,2;
2017,Violacion, Buenos Aires ,1;
